Name,Nationality,Position,Club,Overall Rating,Pace,Shooting,Passing,Dribbling,Defending,Physical,Age
Yvette Otto,Germany,Goalkeeper,Galatasaray,76,76,72,73,80,58,69,40
Katie Rodriguez,Nigeria,Defender,PSG,83,74,71,67,80,56,67,40
Patrícia Moura,Portugal,Goalkeeper,Fulham,85,74,65,68,79,53,69,18
Brittany Farmer,Santos,Midfielder,Bayern Munich,84,73,66,65,75,57,76,37
Nicoletta Abate,Italy,Goalkeeper,Santos,81,70,65,64,82,64,70,19
Katherine Rodriguez,Scotland,Forward,Benfica,82,81,56,84,86,64,75,34
William Roman,Algeria,Forward,Espanyol,82,81,65,66,87,59,70,34
David Bradley,Senegal,Goalkeeper,OGC Nice,79,79,69,82,75,58,70,31
Nicholas Cabrera,Senegal,Midfielder,Al-Hilal,83,83,63,76,68,58,73,32
Kim Martinez,Egypt,Forward,Juventus,85,78,62,66,77,58,71,19
Theresa Martin,Serbia,Forward,Chelsea,85,72,58,76,86,63,71,28
Lisa Brandt,Mexico,Forward,Olympique Lyon,91,76,61,76,79,59,76,26
Nicole Vaughn,Chile,Goalkeeper,Real Madrid,85,75,66,61,70,67,76,29
Jennifer Powers,Austria,Defender,RB Leipzig,86,76,58,80,79,59,70,18
Steven Hayes,Guinea,Goalkeeper,Liverpool,77,66,66,71,79,66,77,24
Austin Smith,Slovakia,Midfielder,Tottenham,85,75,59,72,76,58,66,40
Leah Smith,Croatia,Midfielder,Saif SC,84,83,62,69,74,61,66,24
Dott. Federica Boito,Italy,Goalkeeper,Aston Villa,85,81,64,76,79,63,77,40
Shannon Jones,Poland,Midfielder,Crystal Palace,84,79,71,71,75,54,78,24
Michael Lewis,Guinea,Goalkeeper,Al-Hilal,80,73,58,78,72,59,73,19
Timothy Duncan,Colombia,Forward,Orlando City,79,75,71,67,89,64,71,30
Richard Aguirre,Slovakia,Goalkeeper,Watford,78,72,59,77,72,54,72,34
Brent Jordan,Nigeria,Forward,Al-Ittihad,83,74,69,82,93,62,69,35
John Daniel,Sweden,Forward,Al-Hilal,83,81,65,73,81,64,84,19
Victoria Garcia,Switzerland,Defender,Chittagong Abahani,80,77,67,71,78,62,66,37
Gerald Hensley,Nigeria,Goalkeeper,Sevilla,79,79,59,68,80,57,68,21
Gael Correia,Brazil,Midfielder,Olympique Lyon,85,81,66,72,80,56,75,25
Brenda White,Colombia,Midfielder,AS Roma,79,76,71,62,70,65,70,18
Savannah Garcia,Poland,Defender,Ajax,78,73,70,79,76,59,69,39
Kimberly Smith,Algeria,Midfielder,Atlético Madrid,84,84,67,74,70,62,74,31
Paul Young,Sweden,Midfielder,Nottingham Forest,74,79,73,67,80,66,65,22
Johan Renard,Belgium,Midfielder,PSV Eindhoven,83,71,63,62,78,62,80,36
Carmen Smith,Croatia,Forward,Inter Milan,82,69,61,73,80,64,80,19
Thiago Benjamin Vargas,Argentina,Defender,PSV Eindhoven,87,72,61,71,80,63,79,40
Jay Bernard,Morocco,Goalkeeper,Trabzonspor,81,67,80,70,75,54,75,19
Kristi Higgins MD,Guinea,Defender,Rayo Vallecano,84,70,75,74,71,69,74,38
Wayne Riley,Guinea,Goalkeeper,Atletico Madrid,78,76,69,77,76,54,85,23
Nicole Brown,Algeria,Defender,Grêmio,83,80,59,70,73,70,67,36
Kathryn Farrell,Denmark,Midfielder,Atletico Madrid,82,62,67,76,77,62,85,38
Tyler Miller,Northern Ireland,Defender,Barcelona,80,74,58,70,78,64,73,40
Kurt Leonard,Nigeria,Midfielder,Atletico Madrid,84,81,58,73,80,59,75,36
Heriberto de Hoz,Spain,Midfielder,Roma,81,73,66,78,84,59,68,28
Amanda Miller,Georgia,Defender,Trabzonspor,80,72,62,74,76,65,77,36
Krystal Stewart,Norway,Goalkeeper,Benfica,88,78,71,73,81,55,72,19
Michael Edwards,Egypt,Defender,Retired,83,67,67,72,80,56,74,21
Carlos Brewer,Republic of Ireland,Goalkeeper,Al-Hilal,76,65,62,69,76,63,68,28
Timothy Walls,Georgia,Forward,Watford,85,67,72,77,73,55,83,37
Fiona Johnson,England,Midfielder,Chicago Fire,82,66,68,76,80,64,68,32
Ariel Medina,Colombia,Defender,Manchester City,73,86,67,66,82,59,77,36
Dulce Cazorla,Spain,Forward,Bayern Munich,81,72,67,80,82,62,74,29
Suse Bohnbach,Germany,Defender,Flamengo,85,74,60,70,76,56,69,27
Jaclyn Moore,Slovenia,Goalkeeper,Real Betis,79,79,67,69,70,64,72,36
Michele Carr,Norway,Forward,Bayer Leverkusen,81,68,66,71,74,61,77,35
Miss Aimee Montoya,Denmark,Forward,Manchester United,83,71,64,72,74,62,74,19
Matthew Mcmillan,Republic of Ireland,Goalkeeper,Montreal Impact,77,77,63,70,80,63,72,30
Brian Rodriguez,Denmark,Midfielder,Bayer Leverkusen,85,73,69,75,83,53,79,24
Denise Jacobs,Santos,Forward,Real Sociedad,82,82,62,76,72,63,75,40
Sra. Gabrielly Rodrigues,Brazil,Midfielder,Wolverhampton,81,61,73,71,72,69,78,32
José Antonio Torres-Iglesias,Spain,Forward,Aston Villa,89,75,69,70,75,57,64,22
Sarah Davis,Norway,Goalkeeper,Juventus,85,73,69,74,65,54,74,22
Milena Gonzalez,Argentina,Goalkeeper,Retired,79,78,58,66,80,58,82,32
Nova Huijben,Netherlands,Defender,AS Roma,84,73,67,76,70,54,71,28
Deborah Figueroa,Egypt,Defender,Retired,83,66,64,71,75,57,80,38
Jessica Smith,Switzerland,Goalkeeper,Everton,80,66,69,79,73,56,77,35
Denis Morvan,France,Forward,Real Madrid,80,69,70,67,71,57,90,27
Jacob Tran,Morocco,Forward,Bayer Leverkusen,79,75,71,69,83,53,66,38
Andrew Diaz,Colombia,Midfielder,Real Madrid,81,67,72,77,76,62,71,38
Valerie Williams,Denmark,Midfielder,Galatasaray,83,83,67,73,72,60,63,21
Denise Stoll,Germany,Goalkeeper,Borussia Mönchengladbach,82,68,65,73,76,58,80,28
Brian Deleon,Austria,Midfielder,OGC Nice,86,80,69,71,77,58,70,35
Martin Cardozo,Argentina,Defender,Real Betis,84,70,65,74,70,52,75,25
Cynthia Martin,Georgia,Goalkeeper,Wrexham,81,77,66,71,81,51,76,18
Cassandra Gutierrez,Norway,Goalkeeper,Fiorentina,84,76,63,76,80,50,61,30
Tim Patton,Northern Ireland,Midfielder,Fulham,84,91,65,82,72,56,84,25
Michael Moss,Northern Ireland,Forward,Al-Hilal,84,74,58,74,77,52,78,28
Christopher Haynes,Northern Ireland,Forward,Rayo Vallecano,84,73,72,77,71,65,62,24
Andrew Ruiz,Ecuador,Goalkeeper,Chicago Fire,78,80,70,72,77,59,69,26
Thomas Bailey,Slovakia,Forward,Wolverhampton,78,74,74,78,72,54,67,21
Shelby Walker,Scotland,Goalkeeper,Watford,82,74,68,73,75,55,80,23
Jennifer Ramirez,Kenya,Midfielder,Flamengo,82,67,56,68,79,60,73,18
Raymond Bell,Algeria,Goalkeeper,Roma,83,76,71,69,85,59,72,32
Meghan Anthony,Santos,Forward,LA Galaxy,82,83,63,80,81,60,68,36
Vera Boer,Netherlands,Forward,Bayern Munich,80,79,71,74,78,62,86,24
Wesley White,Uruguay,Midfielder,Nottingham Forest,84,74,77,65,72,54,76,23
Deborah Rodriguez,Poland,Defender,Wrexham,76,69,66,71,82,69,70,18
Manuella Siqueira,Brazil,Goalkeeper,Aston Villa,82,80,59,74,65,57,75,40
Isaline Weber,Belgium,Forward,Chelsea,84,80,61,74,81,67,65,36
Steven Lee,Egypt,Goalkeeper,Burnley,85,64,69,63,76,62,74,21
Jeffrey Meyer,Slovenia,Goalkeeper,Al-Hilal,83,81,70,66,76,55,69,20
Joep van Dommelen-Doyle,Netherlands,Defender,Bayer Leverkusen,85,67,71,72,76,62,71,24
Tammie Hanson,Croatia,Defender,Manchester City,78,81,62,75,69,69,79,32
Belinda Mccullough,Ecuador,Defender,Everton,85,76,64,70,81,54,74,28
Mary Nguyen,Norway,Goalkeeper,Real Betis,85,71,62,64,86,53,69,40
Kristen Lee,Poland,Forward,Olympique Marseille,87,78,68,84,88,55,80,30
